subject,comment,contributor,Date
Maternal Mortality Rate in Africa is bad (2000),"I believe these are rates per 100,000 live births.",,4/28/2007 0:00
Maternal Mortality Rate in Africa is bad (2000),"Maternal Morality in year 2000, WHO, UNICEF, UNFP per 100.000 live...",Hans den Hartog,5/10/2007 0:00
Matrix Chart of Consolidated Summary of Select Export Violations – Department of Commerce,"I'm surprised at the year-to-year variance, especially the outlying year 2005....",Martin Wattenberg,9/25/2007 0:00
Matrix Chart of Registrations by Zip by Model,"I'm trying to incorporate the 'Dealer' into the 'Total"" into one...",58c5de1a-ad2f-11dd-84b8-000255111976,9/14/2008 0:00
Matrix Chart of Trade Stats Singapore: Benchmarking SGCA Impact 2003,Nice visualization for this dataset,,9/21/2008 0:00
Matrix Chart: Payment Methods and Total Purchase Amount at Grocery Chains by Aby,...,Aby,3/4/2008 0:00
McCalories -- more in large fries than a Big Mac!,I guess the best thing to order is the plain hamburger...,Anonymous,1/24/2007 0:00
McCalories -- more in large fries than a Big Mac!,"Yeah, at least the plain hamburger is relatively low in calories...",jbw,10/26/2008 0:00
McDonald's as a big lipid ball,"Am I reading that right, that a single portion of ""chicken...",Lydia,1/24/2007 0:00
McDonald's as a big lipid ball,And watch out for that Na+,Bilabial Fricative Jr.,1/25/2007 0:00
McDonald's as a big lipid ball,McDonalds is fatning and grose and i think they should be...,,10/2/2007 0:00
McDonald's as a big lipid ball,im not kidding either one day i found cocroches in one...,,10/2/2007 0:00
McDonald's as a big lipid ball,I think McDonald's food tastes like crap and makes you feel...,,3/27/2008 0:00
ME Wordle,testing the wordle comment.,Kajol,9/24/2009 0:00
"Mean income by race, sex, and education","Census 2000 data, 2000 cases filtered for age > 25. ...",Tim Erickson,12/19/2007 0:00
Mean preference as a destation,Automatic scale generation assumes scale starts at 0; however these were...,wroehl,11/2/2009 0:00
Mean SAT I Verbal and Math Scores by State 2000-2004,Something fairly radical happened in DC from 2001-2002. Did the district...,Matt McKeon,3/2/2007 0:00
Means of Communication by Region of Residence,This graph is similar to mine because it illustrates that urban...,Sibel,3/23/2008 0:00
Means of Communication by Region of Residence,This graph is similar to mine because it illustrates that urban...,Sibel,3/23/2008 0:00
Medal by Population,"According to Wikipedia, Great Britain is the United Kingdom without Northern...",,3/4/2010 0:00
Medal Count Visualized,"According to Wikipedia, Great Britain is the United Kingdom without Northern...",dqydj.kamp,3/4/2010 0:00
Meddley of Beatles and Muse Lyrics for all their songs,Please have a look!,Peter Lopez CS171,2/12/2010 0:00
Media Consumption in 3 Days,data recorded from saturday 1/19/2008 to 1/21/2008,flavaflav,1/30/2008 0:00
Medicare Benefits Wealthy Most.,"Good points, but it would be interesting to redo as percentage...",,9/22/2009 0:00
medicinal semantic group,test comment,brown eyes,12/9/2007 0:00
mefi chat,Popular URLs. This view is fun to explore--there's a lot of...,Martin Wattenberg,10/19/2007 0:00
mefi chat,"For example, this view shows the popular flickr users.",Martin Wattenberg,10/19/2007 0:00
Men's Swimming Gold Medalist in All Olympic History,I love Olympic games. In particular swimming is one of the...,tanykim,2/10/2009 0:00
Men's Swimming Gold Medalist in All Olympic History,"This is the USA history. As you see, USA didn't participate...",tanykim,2/10/2009 0:00
Mentoring by Weekday,I have created this visualisation using dat set available at the...,,5/1/2008 0:00
Mercury Levels in Commercial Fish and Shellfish,Global Atmospheric Release of Mercury. Where is the Mercury coming...,cgreen,9/6/2007 0:00
MetaFilter Social Networks,Fear the MeFi puppetmasters...,Matt McKeon,3/22/2007 0:00
metavis,so words starting with 'c' were the most frequent (I would...,shiraleeana,9/25/2007 0:00
MetroFuture Draft Implementation Strategies,MF colors,Rob G,11/25/2008 0:00
Mets Batting Averages 2008 - No Outliers,This is a histogram depicting the batting averages of position players...,VisGuyCT,11/16/2008 0:00
meu blog,"Nossa, crescimento exponencial do numero de acessos... Muito bom! ...",gbboettcher,1/26/2007 0:00
meu blog,"Oi Miriam, concordo com o Guilherme; acho que faria mais sentido...",Fernanda B. Viegas,1/26/2007 0:00
meu blog,Outra ideia: seria muito legal ver um grafico que mostrasse tanto...,Fernanda B. Viegas,1/26/2007 0:00
meu blog,Otima ideia! Eu ia gostar de ver isso num Line graph...,gbboettcher,1/26/2007 0:00
meu blog,Otima ideia! Eu ia gostar de ver isso num Line graph...,gbboettcher,1/26/2007 0:00
Mexico and Russia have an awful lot of airports,NOTE: The U.S. (14858 airports) and Brazil (4276 airports) have been...,Mike Lam,2/1/2008 0:00
Michael Hours at CSM - Spring 08',Stunning.,,4/18/2008 0:00
Michael Jackson Tribute,A word tribute to Micheal Jackson,Prescilla.Walker,6/26/2009 0:00
"Michigan's most violent cities, 2006",What would be more interesting would be a graph of (violent...,,2/6/2008 0:00
"Middle Class Families, Poor Individuals Comprise Uninsured Ranks","37% of uninsured families have an income of $50,000+ a year,...",Rachel13,9/13/2009 0:00
"Middle Class Families, Poor Individuals Comprise Uninsured Ranks",Family view,Rachel13,9/16/2009 0:00
Migrants as percentage of total population,"This doesn't include several microstates like Lichtenstein, Luxembourg and Monaco, or...",jp81,10/31/2009 0:00
Migration and growth,What happened with the birth trough starting in the mid '70s?...,Lydia,1/23/2007 0:00
Migration and growth,Does not seem so. The population growth change is more significant...,BTJohannessen,1/29/2007 0:00
Migration patterns world-wide,"Based on the map and a quick google search, the main...",Scott Radley,10/15/2008 0:00
Mileage analysis,Trying out this tool.,Doug Leith,2/4/2008 0:00
Military Costs of Major U.S. Wars,I suspect the fact that wars are more capital-intensive (dominated by...,,9/4/2008 0:00
Military Costs of Major U.S. Wars,I wonder if someone has the stats for the cost of...,,9/4/2008 0:00
Military Costs of Major U.S. Wars,Normalizing by % of GDP during middle of war is the...,,9/4/2008 0:00
Military Costs of Major U.S. Wars,i.e. -- total cost of 4-year WWII in 1944 dollars divided...,,9/4/2008 0:00
Military Costs of Major U.S. Wars,"You all realize that you can click the ""Bubble Size"" button...",,9/10/2008 0:00
Military Costs of Major U.S. Wars,Isn't this a waste of color and both X and Y...,Nanook,9/11/2008 0:00
Military Costs of Major U.S. Wars,If we really only spend 1% of our (United States) GDP...,,9/14/2008 0:00
Military Expenditures per Percentage of Gross Domestic Product,Great map - simple and informative!,gillmoodie,8/19/2009 0:00
Military Spending by Country,"Are these figures in US Dollars? Also, for which year? ...",,4/19/2008 0:00
"Millionaires per 1,000 people by state",why in connecticut has so many milloinaires?,viirreei,1/28/2007 0:00
"Millionaires per 1,000 people by state","Greenwich, CT is a New York suburb of choice for Wall...",Anonymous,1/28/2007 0:00
"Millionaires per 1,000 people by state",this is cool! ah yes greenwich is...,,2/21/2007 0:00
"Minor League Pitching stats, to 7/26/07","MVP? Players look more specialized here, there are...",Lee Byron,8/10/2007 0:00
MLB BlogPoll Cy Young National League Week 2,cool,,4/16/2008 0:00
MLB Pitchers with the most strikeouts in 2009,http://rotolineup.com/2009_Pitchers_with_the_most_strikeouts.aspx,Best_Baseball_Players_2009,8/9/2009 0:00
MLB Players Height vs. Weight,This is great. Thanks!,,2/7/2008 0:00
MLL others,interesting but what is it?,richard lewis,6/11/2008 0:00
MM Arrests By Court By Month,Time frame: 1/1/1999 - 10/14/2008,dunlavy,10/22/2008 0:00
Mobile phone ownership per capita (as %),"Ah, very nice. This answers the questions in some of the...",Anonymous,1/26/2007 0:00
Mobile Phone Subscribers in Africa,snoble@illinois.edu,,2/26/2009 0:00
Mobile Phone use has become popular,Look at the change in Russia from 1999 to 2005! ...,Lydia,1/25/2007 0:00
Mobile subscribers per country worldwide 2006,erm... bad data... all I can say :P,,11/16/2007 0:00
money by date,Prior to this visualization I hadn't noticed that the bubble chart...,dcjohn,2/13/2007 0:00
"Monthly Mean Temperatures (in Farenheit) Concord, NH (1871-2006)","That's a wide range, considering these are monthly averages.",,8/5/2007 0:00
"Monthly Mean Temperatures (in Farenheit) Concord, NH (1871-2006)",Is that outlier (average august temp of 32 degrees) correct???,,8/5/2007 0:00
"Monthly Mean Temperatures (in Farenheit) Concord, NH (1871-2006)","Except for that one outlier, it seems that the august range...",,8/5/2007 0:00
Monthly posts to Yahoo!'s Zoot forum,Someone on the Zoot forum noted that activity on the forum...,gorski,1/27/2007 0:00
Monthly Trending of Natural Gas Over a 24 year period,Natural gas is a highly volatie and seasonal commodity. This visualization...,,9/23/2008 0:00
More high speed streets would lower total accident numbers in Germany,Addition: This view was created for the CS7450 Spring 09 class...,^^@info.vis,2/4/2009 0:00
more threats wordled,"Changed font to sans-serif, more menacing colors.",,3/4/2009 0:00
more threats wordled,Harder to read but more lively.,,3/4/2009 0:00
Morte nas grandes cidades,"Olhando o mesmo grafico em termos percentuais, da' pra se ver...",Fernanda B. Viegas,12/4/2009 0:00
Morte nas grandes cidades (2),"Um absurdo. Uma cidade como Brasília, capital federal, com esse índice...",,12/4/2009 0:00
Morte nas grandes cidades (2),Esses dados deverão ser mostrados durante a proxima campnha eleitoral para...,,12/5/2009 0:00
"Most popular books, Project Gutenberg","Compare with the library book visualizations. Funny, the Kama Sutra...",Martin Wattenberg,2/19/2007 0:00
"Most popular books, Project Gutenberg","Very interesting concept, this visualization.",,3/7/2007 0:00
"Most popular books, Project Gutenberg","Interesting comparison, thanks for pointing it out, Martin! I've read far...",jbw,10/26/2008 0:00
Most Popular SMU on FB (spanish platform),extatico,larapita,12/18/2009 0:00
Most popular social networks by country: world map,serbia???,,7/26/2009 0:00
motherhood wage penalty,"What is the penalty referencing? Please include some sort of description,...",,10/8/2009 0:00
Motivos,muito bom,fsijanas,10/14/2009 0:00
"Motor vehicle fatalities by country, 2004",mapped a few more countries,Jesse,1/11/2007 0:00
Motor Vehicle Fatalities per Million People,Doesn't that most likely reflect a dramatic rise in car ownership...,Martin Wattenberg,1/10/2007 0:00
Motor Vehicle Fatalities per Million People,The outliers are interesting: Russia's fatality rate is the same as...,,3/5/2007 0:00
Movie Genre Line Graph,Short movies are making a come back. They were super popular...,Fernanda B. Viegas,7/9/2007 0:00
Movie Genre Line Graph,It seems like we've been on the tragic side of things...,Fernanda B. Viegas,7/9/2007 0:00
Movie Genre Line Graph,No film noir since 1960? What about Body Heat or The...,Martin Wattenberg,7/9/2007 0:00
Movie Genres 1888-2006 Count,"Death of the western, maybe people in the early 1900's could...",Frank van Ham,7/9/2007 0:00
Movie Genres 1888-2006 Percent Per Year,Musicals have certainly slumped in popularity.,,7/10/2007 0:00
Movie Genres 1888-2006 Percent Per Year,Film Noir has disappeared :(,colm,7/10/2007 0:00
Movie Genres 1888-2006 Percent Per Year,War movies are popular around times of war.,hadley,7/10/2007 0:00
Movie Genres 1888-2006 Percent Per Year,About the war movies: true--except for the current war... I wonder...,Martin Wattenberg,7/10/2007 0:00
Movie Genres 1888-2006 Percent Per Year,Very interesting! Is this data of movies released in the United...,SaraL,6/17/2008 0:00
Movie Genres 1888-2012 Count,It seems that short films and documentaries are not planned that...,Karim,7/10/2007 0:00
Movie Genres 1888-2012 Count,"If you look at the raw numbers, hardly any movies are...",,7/10/2007 0:00
Movie Genres 1888-2012 Count,This is confusing - did film noir end in 1960? ...,colm,7/11/2007 0:00
Movie Genres 1888-2012 Count,This clearly shows that people make film noirs anymore,saby,12/2/2007 0:00
Movie Genres 1888-2012 Count,No movies on Film Genre after 1960,saby,12/10/2007 0:00
Movie Genres 1888-2012 Count,no film noirs after 1960,saby,12/10/2007 0:00
Movie Genres 1888-2012 Count,"Presumably the data is not complete for 2006 and 2007, hence...",Justin Little,5/8/2008 0:00
Movie Genres 1888-2012 Count,"the genre of ""woman's Picture"" (that's what they called it in...",,11/28/2008 0:00
Movie Genres 1888-2012 Count,cool,,1/3/2009 0:00
Movie Genres 1888-2012 Percent Per Genre,This is fascinating: - Western movies fizzle out after...,Fernanda B. Viegas,7/9/2007 0:00
Movie Genres 1888-2012 Percent Per Genre,You can see that musicals only took off once movies had...,Martin Wattenberg,7/9/2007 0:00
Movie Genres 1888-2012 Percent Per Genre,"War does match up with the wars, but crim goes down...",Terrab Erk,7/12/2007 0:00
Movie Genres 1888-2012 Percent Per Year,This is a depressing trend & also a confusing one. ...,colm,7/11/2007 0:00
Movie Genres 1888-2012 Percent Per Year,I'm now holding family films responsible for the decline of westerns......,colm,7/11/2007 0:00
Movie Genres 1888-2012 Percent Per Year,This data doesn't look right. If it is percent per...,,7/12/2007 0:00
Movie Genres 1888-2012 Percent Per Year,"Yep, doesn't make sense at all. I thought genres were...",colm,7/16/2007 0:00
Movie profiles,Lots of interesting stuff here: - Pirates made most of...,Frank van Ham,3/13/2007 0:00
Movie profiles,"It's interesting how, in this view, the UK gets completely lost...",Matt McKeon,3/13/2007 0:00
Movie Shot Treemap,Hitchcock sure likes his POV shots.,Hollis,10/3/2007 0:00
"Movies Of 2006: Violence Sells, Sex Doesn't (As Much)","more importantly, real winners don't have much of either- or f-bombs....",,6/15/2007 0:00
"Movies Of 2006: Violence Sells, Sex Doesn't (As Much)",just messing around,,6/19/2007 0:00
"Movies Of 2006: Violence Sells, Sex Doesn't (As Much)","this is a bit lame, maybe you could have something useful...",,6/20/2007 0:00
"mowaii - Creative Agency for Intergrated Communication, Germany",Make your spirit visible! We're going to try...,mowaii,9/6/2008 0:00
"mowaii - Creative Services, Germany",mowaii - Make your Spirit visible! We're going...,mowaii,9/6/2008 0:00
MP Expenses by Category and Party,Fascinating to see what each party spends above its weight on....,,11/27/2009 0:00
MPG vs. Horsepower in relation to Acceleration.,Nice. Is it possible to exclude diesels and hybrids?,,5/30/2009 0:00
ms. pac-man,test,terrage,10/21/2009 0:00
"Municípios, total e com estrutura na área de cultura - Brasil 2006","O título não deveria dizer ""UFs, total e com estrutura na...",,9/26/2007 0:00
Munich underground network,This is my initial version to get things up and running....,RomanSchaller,11/4/2009 0:00
Murder Rate per capita by US state,Has anyone seen Florida?,,11/6/2009 0:00
Museum Attendance-Population Percent Ratios by Type and City,"Cities include: Tampa, Baltimore, Denver, Pittsburgh and Seattle. Only museums with...",Jeanie,10/28/2008 0:00
Music by Linkin Park,The visualization model is to provide the static information about the...,Xiaoyong Yang,10/27/2008 0:00
Mutual Fund Performance Metrics,Wow!! This is cool!! Wish I had this for my stocks.....,Richard,3/2/2008 0:00
Mutual Funds shown with a block histogram,"Each single block is a type of mutual fund, which can...",Stephen_Kao,3/3/2008 0:00
My 2006 Jetta TDI MPG by Fill Date and Source,I had been traveling overseas between Feb and Mar and came...,JohnKong,8/31/2008 0:00
My 2006 Jetta TDI MPG by Fill Date and Source,"Throwing out my first tank's avg mpg, I've seen my average...",JohnKong,8/31/2008 0:00
My CV wordle,I think this is a great tool for looking at your...,J-P,1/15/2010 0:00
my facebook,"you went to berkeley, eh?",omnigodot,11/6/2007 0:00
my facebook egonet,Network diagrams are cool. I have seen a similar thing...,cgreen,9/20/2007 0:00
My Facebook Network,Where are you??,jouh,10/10/2007 0:00
My favorite artists: the start of the long tail,some of my favorites...,Jesse,6/17/2007 0:00
My favorite artists: the start of the long tail,3 of my favourites in a row...,colm,6/26/2007 0:00
My fifty favourite bands,841? That's a lot!,,11/8/2008 0:00
My fifty favourite bands,Jan Delay? Nice choice.,,11/8/2008 0:00
My Happiness,Kewl... love the colors and the free mind associations...Riv,laskalass,9/21/2008 0:00
My iTunes Library,Nice colors for flowermapping,,8/6/2007 0:00
My iTunes Library,"By artist, with a few of my favorites highlighted.",Jesse,8/6/2007 0:00
My iTunes Library,All of Brand New Heavies (they're split up because of the...,Jesse,8/6/2007 0:00
My Movies,Mike - Tell me what you think.. What movie should I...,CognosCloud,10/28/2009 0:00
my social network example,this is a neat site,Aron23,2/3/2009 0:00
my social network example,clusters,Aron23,2/3/2009 0:00
my social network example,peripheral,Aron23,2/3/2009 0:00
my social network example,central,Aron23,2/3/2009 0:00
my social network example,directed,Aron23,2/3/2009 0:00
my social network example,prestige,Aron23,2/3/2009 0:00
my title,it is good,,4/20/2007 0:00
my vis,Nutrient content per product,,11/17/2009 0:00
my vis,This gives a good view.,,11/17/2009 0:00
MyBlock,Test app.,dev-tech,12/19/2009 0:00
myspace comment network sample,just a layout test,didi_o,6/13/2007 0:00
MySpace Visualization,l,,4/25/2008 0:00
myspace.com,fuk off u gay,,9/18/2007 0:00
myspace.com,fuk off u gay,,9/18/2007 0:00
myspace.com,ahhhh,,4/16/2008 0:00
mysteries of udolpho - ending: !,Interesting that you can use a punctuation mark at the end...,hawkmc,6/3/2009 0:00
Names in new testament (after crossway),"This is an experiment--a ""doubled"" version of crossway's treemap of new...",JasonW,1/24/2007 0:00
Napoleon's number of troops as he advances toward (the upper sequence) and retreats from (lower sequence) Moscow,This is as close to Minard's visualization as I could figure...,Derthick,9/5/2007 0:00
NASA's annual budget,You gotta love the good old military industrial complex. I'm shure...,Anonymous,1/25/2007 0:00
Nash Keune platform,Technical difficulties?,,1/28/2010 0:00
Nat_EAR: Encontro em um ponto 2008,Fixed that for you,,3/27/2008 0:00
Natação - metragem acumulada diariamente,"Noooossa, pai! 4.200 metros nao e' fichinha, hein? Parabens!!...",Fernanda B. Viegas,3/4/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,A couple of entertainment items.,Karim,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,Odd... potatoes have different behaviors depending on the presentation.,Karim,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,Milk prices.,Karim,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,Alcohol prices,colm,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,A haircut costs more for women than men...,Martin Wattenberg,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,...but this view shows the prices rise almost precisely in tandem....,Martin Wattenberg,7/10/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,it would be interesting to know price difference between home-cooked recipes...,,7/12/2007 0:00
National Average Price (€) in Ireland for Consumer Items from 2002 to 2006,Fine wines are getting more expensive while table wines are getting...,phannan,7/27/2007 0:00
National Corruption Index vs. Internet Penetration Per 100 Citizens,New Zealand has 79 internet users PER CAPITA? What doe that...,Frank van Ham,3/1/2007 0:00
National Corruption Index vs. Internet Penetration Per 100 Citizens,"It says ""per 100"" in the title, so the ""per capita""...",Martin Wattenberg,3/1/2007 0:00
National energy intensities in the Eurpean Economic Area,Magyarul: http://antaldaniel.blogspot.com/2008/12/eurpai-energiaintenzits.html English: http://central.blogactiv.eu/2008/12/14/european-energy-intensity-and-dependence/,adaniel,12/14/2008 0:00
"National Highway System: Deficient Bridges by State, 2006","From www.bts.gov: ""Structurally deficient bridges are defined as those needing significant...",Susanne,8/2/2007 0:00
"National Highway System: Deficient Bridges by State, 2006",Something that really jumps out in this visualization is that Texas...,Susanne,8/2/2007 0:00
Nationwide Sales Force Service Center Calls,"This is a very large data set, and takes a very...",Bill P,4/28/2008 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,How do i get colour in this visualization?,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,Interesting to see countries sandwiched between United and States and how...,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,"This has 140 countries represented, which are primarily in North America,...",Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,This data visualization is best when compared with Contributors world map...,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,This data visualization is best when compared with Contributors world map...,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,This data visualization is best when compared with Contributors world map...,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,This data visualization is best when compared with Contributors world map...,Tracey P. Lauriault,3/28/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,This is very useful. Find it very interesting that NATO...,mgifford,4/16/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,Great story and terrific example. How do we find more...,mgifford,4/16/2009 0:00
NATO International Security Assistance Force Contributing Nations to Afghanistan,"Oh yeah, also would like to be able to switch projections....",mgifford,4/16/2009 0:00
Natural and anthropogenic (human-caused) emissions sources of mercury,Global Mercury Emissions are approximately 7000 tons per year ...,cgreen,9/6/2007 0:00
NBA 2004-2005 Home/Away Wins with Offensive Efficiency,It looks like higher offensive efficiencies (points scored per 100 possessions)...,wesley willett,2/11/2007 0:00
NBA 2004-2005 Home/Away Wins with Offensive Efficiency,"On the other hand, better (lower) defensive efficiencies (points allowed by...",wesley willett,2/11/2007 0:00
NBA 2004-2005 Home/Away Wins with Offensive Efficiency,I pulled the data into JMP to take a look. ...,dcjohn,2/14/2007 0:00
NBA Jersey Color Matrix,More red in the east and more yellow in the west....,Lee Byron,7/27/2007 0:00
NBA Jersey Color Matrix,Another interesting dissection of color palette,Lee Byron,7/27/2007 0:00
NBI RATING BY PERCENT(%),COOL,garzaja,5/30/2008 0:00
"NC Dropout DATa 1999-2007, Bar Chart",My first attempt.,Lynn,2/20/2008 0:00
NC Health Rankings,What a neat tool. I really love being able to zoom...,,2/18/2010 0:00
Ned Kelly Biography,This is a third party biographer. It would be interesting to...,,3/6/2009 0:00
Needs-ARC,take 1,brentfagg,6/19/2009 0:00
Needs-DFRC,test one,brentfagg,6/19/2009 0:00
Needs-GRC,take 1,brentfagg,6/19/2009 0:00
Needs-GSFC,Take one,brentfagg,6/19/2009 0:00
Needs-JPL,take one,brentfagg,6/19/2009 0:00
Needs-JSC,take one,brentfagg,6/19/2009 0:00
Needs-KSC,First pass,brentfagg,6/19/2009 0:00
Needs-KSC,test two,brentfagg,6/19/2009 0:00
Needs-LaRC,take one,brentfagg,6/19/2009 0:00
Needs-MSFC,First pass,brentfagg,6/19/2009 0:00
Needs-MSFC,pass two,brentfagg,6/19/2009 0:00
Needs-SSC,Testing 1.2.3,brentfagg,6/19/2009 0:00
Needs-SSC,take 3,brentfagg,6/19/2009 0:00
"Negative reviews of ""A Christmas Carol""",see this,yz_gsu,11/30/2009 0:00
"Negative reviews of ""A Christmas Carol""",see this,yz_gsu,11/30/2009 0:00
Negative Votes (Jan 2006 - Feb 2009),This chart represents council members’ negative votes on legislation that was...,Gotham Gazette,3/8/2009 0:00
Negative Votes (Jan 2006 - Feb 2009),This chart represents council members’ negative votes on legislation that was...,Gotham Gazette,3/9/2009 0:00
NEN Treemap,Can you tell us more about what the data here means?...,Anonymous,1/26/2007 0:00
Net Cost of Bills Histogram,What exactly is behind this bimodal distribution? It's partly a democrat/republican...,Martin Wattenberg,7/31/2007 0:00
Net Cost of Bills Histogram,"Does this have to do with committee membership, maybe?",Martin Wattenberg,7/31/2007 0:00
Net Cost of Bills Histogram,The reason some Democrats are in the group on the left...,DominicRupprecht,8/13/2007 0:00
Net Cost of Bills Histogram,More data can be found here: http://www.ntu.org/main/press_papers.php?PressID=948&org_name=NTUF.,DominicRupprecht,8/13/2007 0:00
Net Diagram of Earmarks,I think that I like this visualization better in some respects...,Jeff Tyler,5/29/2007 0:00
"Net Fiscal Incidence: Government Spending Received Per Household Minus Taxes Paid Per Household, 2004","In Figure 8 when all federal, state and local government spending...",cgreen,9/4/2007 0:00
Net Profit Margins of largest Biotech & Tech stocks,Visualization shows the largest healthcare stocks in decreasing order of market...,dogbert,4/12/2008 0:00
Net Worth Binned,"Not a lot of data points, but you can already start...",wesley willett,1/23/2007 0:00
"Net Worth of United States Senators, 2007 (upper bound of range)",I would suggest that you populate the circles with the 2...,,10/5/2008 0:00
Network Diagram for New Testament Bible Social Network,This is a very nice project. It would be interesting to...,,11/30/2008 0:00
Network Diagram of Character relationships(test case),snapshot for looking,22d84e78-ad2f-11dd-84b8-000255111976,2/8/2008 0:00
Network Diagram of Chris & Ron's Facebook Visualization as of 6/15/2007,Interesting... It looks like you could benefit from...,Lee Byron,6/18/2007 0:00
Network Diagram of Chris & Ron's Facebook Visualization as of 6/15/2007,Was the text dump created using the Facebook plugin? ...,sameerh,6/18/2007 0:00
Network Diagram of Chris & Ron's Facebook Visualization as of 6/15/2007,copied from comment on a dataset addressing plugin question: ...,Irene,6/20/2007 0:00
Network Diagram of Chris & Ron's Facebook Visualization as of 6/15/2007,This is very interesting...,,6/25/2007 0:00
Network Diagram of Chris & Ron's Facebook Visualization as of 6/15/2007,"This is great, there can still be an addition like...",,6/26/2007 0:00
Network Diagram of Degrees of Seperation complete set,where is the survey tool you used to create the visualization....,MartyK,1/17/2008 0:00
Network Diagram of dmap_129,foo,in4matx,3/6/2007 0:00
Network Diagram of dmap_129,Is this protein-interaction data?,,3/6/2007 0:00
Network Diagram of Friendship,Note that the central person himself is not added to the...,Vahed,10/2/2007 0:00
Network Diagram of New Testament Person Co-Occurrences (3 or More Co-Occurrences),Now with search!,Frank van Ham,1/26/2007 0:00
Network Diagram of New Testament Person Co-Occurrences (with Co-Occurrence Count),Looks like all these connections are running through these 7 people......,Frank van Ham,1/28/2007 0:00
Network Diagram of New Testament Person Co-Occurrences (with Co-Occurrence Count),test,,3/26/2008 0:00
Network Diagram of New Testament Person Co-Occurrences (with Co-Occurrence Count),test2,,3/26/2008 0:00
Network Diagram of New Testament Person Co-Occurrences (with Co-Occurrence Count),test3,,3/26/2008 0:00
Network Diagram of organization personnel,This is a college organizational structure laid out in a network...,Kelly,3/10/2007 0:00
Network Diagram of social network structure,I realize the contributor of this data set probably needed to...,Anonymous,1/24/2007 0:00
Network Diagram of social networks review a1,"This data is clearly anonymized for a reason, but I'd be...",Martin Wattenberg,1/25/2007 0:00
Network Diagram: Arctic Food Chain,"I can't show direction on the arctic food chain, so it...",0c73d86e-ad2f-11dd-84b8-000255111976,6/26/2007 0:00
Network Diagram: Arctic Food Chain,"Yes a directed chart would be really useful here, still a...",Jacket,6/26/2007 0:00
Network Diagram: Arctic Food Chain,Here's a variant with (so far as I can tell) minimized...,Belarius,4/14/2008 0:00
Network Diagram: Arctic Food Chain,"...And here's a variant taking advantage of the ""directional arrows"" to...",Belarius,4/14/2008 0:00
Network Diagram: Arctic Food Chain,just a more cleaned up version of Belarius's,,11/29/2008 0:00
Network Diagram: Arctic Food Chain,lol,,1/7/2009 0:00
Network Map of Faculty Research and Interest Areas,Organized,jojoknob,2/23/2009 0:00
Network of Canwest media ownership,Cleaned-up layout,JohnBowman,5/1/2009 0:00
Network of Canwest media ownership,"What about Ten network in Australia? Turkish radio holdings, some additional...",,5/6/2009 0:00
Network of Canwest media ownership,Thanks John!,,5/7/2009 0:00
Network of Genres,"So basically everything is connected with everything else, apart from documentary...",hadley,7/11/2007 0:00
Network of Organizations,Organized for presentation.,Frymaster,6/17/2009 0:00
Nevada Death Row Roster (Winter 2008),Is this 'visualization' a joke? It serves no purpose except...,,9/25/2009 0:00
Never-ending workplace injuries.,"A line chart is not appropriate here, should be bar chart....",,9/22/2009 0:00
New books in library catalogue for February,"I exported data from the title, author, added authors, and subject...",,3/13/2007 0:00
New CS PHDs are increasingly likely to take postdoc,The x axis is the number of years within which the...,boliu,9/16/2009 0:00
New House Registrations in Ireland,The number of new houses registered in Dublin in 2006 is...,colm,11/12/2007 0:00
New Testament from King James Bible,Great fun! Thanks very much for this delightful visualization.,,12/6/2009 0:00
New Testament Greek Nominal Suffixes,"Search for case/number/gender (e.g. GPM, DSM, ASF, NPN) from the End....",jtauber,9/10/2007 0:00
New Testament Greek Nominal Suffixes,You can also search for things like 'o s' to see...,jtauber,9/10/2007 0:00
New Testament Greek Nominal Suffixes,"Can you explain more about the data set, for those of...",,9/10/2007 0:00
New Testament Greek Nominal Suffixes,The dataset is a list of all words appearing in the...,jtauber,9/10/2007 0:00
New Testament People Co-Occurrences,"This graph works much better than the previous one. Congrats,...",Anonymous,1/24/2007 0:00
